1, NULL, NULL, ساندويش زنجر صغير, 0.75, 0,s1
2, NULL, NULL, ساندويش زنجر فرنسي, 1, 0,s2
3, NULL, NULL, ساندويش زنجر صاج صغير, 1, 0,s3
4, NULL, NULL, ساندويش زنجر صاج كبير, 1.5, 0,s4
5, NULL, NULL, ساندويش تندر صغير, 0.75, 0,s5
6, NULL, NULL, ساندويش تندر فرنسي, 1.5, 0,s6
7, NULL, NULL, ساندويش تندر صاج صغير, 1, 0,s7
8, NULL, NULL, ساندويش تندر صاج كبير, 1.5, 0,s8
9, NULL, NULL, ساندويش فاهيتا صغير, 1, 0,s9
10, NULL, NULL, ساندويش فاهيتا فرنسي كبير, 1.75, 0,s10
11, NULL, NULL, ساندويش فاهيتا صاج صغير, 1, 0,s11
12, NULL, NULL, ساندويش فاهيتا صاج كبير, 1.75, 0,s12
13, NULL, NULL, ساندويش كوردن بلو فرنسي, 1.5, 0,s13
14, NULL, NULL, ساندويش كوردن بلو صاج, 1.5, 0,s14
15, NULL, NULL, ساندويش هوت دوغ صغير, 0.35, 0,s15
16, NULL, NULL, ساندويش هوت دوغ فرنسي, 1, 0,s16
17, NULL, NULL, وجبة زنجر صاج او فرنسي, 2, 0,s17
18, NULL, NULL, وجبة تندر صاج او فرنسي, 2, 0,s18
19, NULL, NULL, وجبة فاهيتا صاج او فرنسي, 2.5, 0,s19
20, NULL, NULL, وجبة كوردن بلو صاج او فرنسي, 2.5, 0,s20
21, NULL, NULL, وجبة هوت دوغ فرنسي, 1.75, 0,s21
22, NULL, NULL, وجبة شاورما عادي, 1.75, 0,s22
23, NULL, NULL, وجبة شاورما سوبر, 2.5, 0,s23
24, NULL, NULL, وجبة شاورما دبل, 3, 0,s24
25, NULL, NULL, وجبة شاورما تربل, 4, 0,s25
26, NULL, NULL, وجبة شاورما إيطالي, 3.5, 0,s26
27, NULL, NULL, وجبة شاورما حلبي, 3.5, 0,s27
28, NULL, NULL, وجبة شاورما برايز عادي, 2, 0,s28
29, NULL, NULL, وجبة شاورما برايز سوبر, 3.5, 0,s29
30, NULL, NULL, ساندويش شاورما صغير, 0.6, 0,s30
31, NULL, NULL, ساندويش شاورما كبير, 1.1, 0,s31
32, NULL, NULL, ساندويش شاورما فرنسي, 1.5, 0,s32
33, NULL, NULL, الوجبة الشبابية, 7, NULL,s33
34, NULL, NULL, الوجبة الإقتصادية, 9, 0,s34
35, NULL, NULL, الوجبة العائلية العملاقة, 12, NULL,s35
36, NULL, NULL, برغر اطفال, 0.5, NULL,s36
37, NULL, NULL, برغر 100غرام, 1.5, NULL,s37
38, NULL, NULL, برغر 200غرام, 2, NULL,s38
39, NULL, NULL, سكالوب دجاج, 0.75, NULL,s39
40, NULL, NULL, وجبة برغر اطفال, 2, NULL,s40
41, NULL, NULL, وجبة برغر 100غرام, 2.5, NULL,s41
42, NULL, NULL, وجبة برغر 200غرام, 3, NULL,s42
43, NULL, NULL, وجبة سكالوب دجاج, 0, 2.5,s43
44, NULL, NULL, وجبة 4 قطع حار او بارد, 3, NULL,s44
45, NULL, NULL, وجبة 8 قطع حار او بارد, 6, NULL,s45
46, NULL, NULL, وجبة 12 قطع حار او بارد, 9, NULL,s46
47, NULL, NULL, وجبة 16 قطع حار او بارد, 12, NULL,s47
48, NULL, NULL, وجبة 20 قطع حار او بارد, 15, NULL,s48
49, NULL, NULL, وجبة 24 قطع حار او بارد, 17, NULL,s49
50, NULL, NULL, مثومة صغير, 0.25, NULL,s50
51, NULL, NULL, مثومة كبير, 0.5, NULL,s51
52, NULL, NULL, مخلل صغير, 0.25, NULL,s52
53, NULL, NULL, مخلل كبير, 0.5, NULL,s53
54, NULL, NULL, بطاطا صفير, 0.5, NULL,s54
55, NULL, NULL, بطاطا كبير, 1, NULL,s55
56, NULL, NULL, كولا 330مل, 0.3, NULL,s56
57, NULL, NULL, كولا لتر, 0.6, NULL,s57
58, NULL, NULL, مياه معدنيه, 0.35, NULL,s58
